Producto,Fecha,Ventas,Precio Venta,Costo Unitario
Achiote Grande,2026-03-09,3,1200,450
Achiote Grande,2026-01-26,2,1300,750
Achiote Grande,2026-02-02,2,1300,750
Achiote Grande,2026-02-09,1,1200,550
Achiote Grande,2026-02-16,1,1200,550
Achiote Grande,2026-02-23,2,1200,550
Achiote Grande,2026-03-30,4,1000,420
Achiote Grande,2026-03-23,4,1000,420
Achiote Grande,2026-03-16,6,1000,420
Achiote Grande,2026-01-19,5,1300,750
Achiote Grande,2026-03-02,2,1200,450
Achiote Pequeño 100g,2026-03-09,4,600,250
Achiote Pequeño 100g,2026-02-02,9,600,250
Achiote Pequeño 100g,2026-02-16,8,600,250
Achiote Pequeño 100g,2026-03-02,6,600,250
Achiote Pequeño 100g,2026-03-16,5,600,250
Achiote Pequeño 100g,2026-03-30,4,600,250
Achiote Pequeño 100g,2026-02-23,3,600,250
Achiote Pequeño 100g,2026-02-09,4,600,250
Achiote Pequeño 100g,2026-01-26,9,600,250
Achiote Pequeño 100g,2026-03-23,1,600,250
Achiote Pequeño 100g,2026-01-19,3,600,250
Arándanos,2026-02-23,8,1800,1200
Arándanos,2026-02-16,14,1800,1200
Arándanos,2026-03-23,5,1800,1200
Arándanos,2026-01-26,7,1800,1200
Arándanos,2026-03-09,9,1800,1200
Arándanos,2026-01-19,7,1800,1200
Arándanos,2026-03-30,4,1800,1200
Arándanos,2026-02-09,11,1800,1200
Arándanos,2026-03-16,9,1800,1200
Arándanos,2026-03-02,16,1800,1200
Arándanos,2026-02-02,8,1800,1200
Canasta mediana,2026-03-30,0,3500,2000
Canasta mediana,2026-01-26,1,3500,2000
Canasta mediana,2026-02-09,0,3500,2000
Canasta mediana,2026-03-23,0,3500,2000
Canasta mediana,2026-03-16,1,3500,2000
Canasta mediana,2026-02-23,1,3500,2000
Canasta mediana,2026-02-16,0,3500,2000
Canasta mediana,2026-03-02,0,3500,2000
Canasta mediana,2026-03-09,0,3500,2000
Canasta mediana,2026-01-19,0,3500,2000
Canasta mediana,2026-02-02,0,3500,2000
Canela en astilla 14g,2026-03-23,9,500,210
Canela en astilla 14g,2026-02-09,10,500,210
Canela en astilla 14g,2026-01-19,10,500,210
Canela en astilla 14g,2026-03-09,5,500,210
Canela en astilla 14g,2026-02-02,10,500,210
Canela en astilla 14g,2026-02-23,7,500,210
Canela en astilla 14g,2026-01-26,12,500,210
Canela en astilla 14g,2026-03-30,6,500,210
Canela en astilla 14g,2026-03-02,12,500,210
Canela en astilla 14g,2026-03-16,14,500,210
Canela en astilla 14g,2026-02-16,9,500,210
Canela en polvo 46g,2026-03-16,0,500,240
Canela en polvo 46g,2026-02-16,2,500,240
Canela en polvo 46g,2026-02-09,1,500,240
Canela en polvo 46g,2026-03-23,1,500,240
Canela en polvo 46g,2026-02-02,3,500,269
Canela en polvo 46g,2026-01-26,5,500,269
Canela en polvo 46g,2026-03-02,1,500,240
Canela en polvo 46g,2026-02-23,3,500,240
Canela en polvo 46g,2026-01-19,0,500,269
